Country,Indicator,Year,Value
Kenya,Severe Food Insecurity (%),2016-2018,21.6
Kenya,Severe Food Insecurity (%),2016-2018,20.6
Kenya,Severe Food Insecurity (%),2016-2018,22.7
Kenya,Severe Food Insecurity (%),2017-2019,23.4
Kenya,Severe Food Insecurity (%),2017-2019,22.3
Kenya,Severe Food Insecurity (%),2017-2019,24.4
Kenya,Severe Food Insecurity (%),2018-2020,24.9
Kenya,Severe Food Insecurity (%),2018-2020,23.9
Kenya,Severe Food Insecurity (%),2018-2020,25.9
Kenya,Severe Food Insecurity (%),2019-2021,26.1
Kenya,Severe Food Insecurity (%),2019-2021,25.0
Kenya,Severe Food Insecurity (%),2019-2021,27.1
Kenya,Severe Food Insecurity (%),2020-2022,28.0
Kenya,Severe Food Insecurity (%),2020-2022,27.0
Kenya,Severe Food Insecurity (%),2020-2022,29.0
Kenya,Severe Food Insecurity (%),2021-2023,28.0
Kenya,Severe Food Insecurity (%),2021-2023,27.0
Kenya,Severe Food Insecurity (%),2021-2023,29.1
Kenya,Severe Food Insecurity (%),2022-2024,28.1
Kenya,Severe Food Insecurity (%),2022-2024,27.0
Kenya,Severe Food Insecurity (%),2022-2024,29.1
Kenya,Moderate or Severe Food Insecurity (%),2016-2018,60.9
Kenya,Moderate or Severe Food Insecurity (%),2016-2018,59.4
Kenya,Moderate or Severe Food Insecurity (%),2016-2018,62.5
Kenya,Moderate or Severe Food Insecurity (%),2017-2019,64.4
Kenya,Moderate or Severe Food Insecurity (%),2017-2019,62.9
Kenya,Moderate or Severe Food Insecurity (%),2017-2019,66.0
Kenya,Moderate or Severe Food Insecurity (%),2018-2020,67.7
Kenya,Moderate or Severe Food Insecurity (%),2018-2020,66.1
Kenya,Moderate or Severe Food Insecurity (%),2018-2020,69.2
Kenya,Moderate or Severe Food Insecurity (%),2019-2021,69.5
Kenya,Moderate or Severe Food Insecurity (%),2019-2021,67.9
Kenya,Moderate or Severe Food Insecurity (%),2019-2021,71.1
Kenya,Moderate or Severe Food Insecurity (%),2020-2022,72.3
Kenya,Moderate or Severe Food Insecurity (%),2020-2022,70.7
Kenya,Moderate or Severe Food Insecurity (%),2020-2022,73.8
Kenya,Moderate or Severe Food Insecurity (%),2021-2023,72.8
Kenya,Moderate or Severe Food Insecurity (%),2021-2023,71.3
Kenya,Moderate or Severe Food Insecurity (%),2021-2023,74.4
Kenya,Moderate or Severe Food Insecurity (%),2022-2024,73.9
Kenya,Moderate or Severe Food Insecurity (%),2022-2024,72.3
Kenya,Moderate or Severe Food Insecurity (%),2022-2024,75.5
